accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score,severity_index,risk_quartile
0,Pune,Maharashtra,18.680826,73.93039,2023-10-22,5:00,5,Sunday,Weekend,highway,3,1,fog,low,32,high,weather,fatal,2,2,Non Peak Hour,No Festival,0.85,4,Q4
1,Mumbai,Maharashtra,18.817732,72.79085,2023-05-21,4:00,4,Sunday,Weekend,urban,4,0,clear,high,34,low,weather,major,4,3,Non Peak Hour,No Festival,0.1,12,Q1
2,Mumbai,Maharashtra,19.09689,72.81943,2024-07-10,13:00,13,Wednesday,Weekday,urban,3,0,fog,low,21,medium,weather,minor,1,1,Non Peak Hour,No Festival,0.45,1,Q2
3,Chandigarh,Punjab,30.787806,76.8475,2025-03-30,11:00,11,Sunday,Weekend,urban,1,1,fog,low,30,high,distraction,minor,5,2,Non Peak Hour,No Festival,0.65,10,Q4
4,Chennai,Tamil Nadu,12.965155,80.28331,2024-01-25,16:00,16,Thursday,Weekday,highway,3,1,clear,high,24,low,distraction,minor,2,1,Non Peak Hour,No Festival,0.1,2,Q1
5,Delhi,Delhi,28.79949,77.04967,2024-07-29,8:00,8,Monday,Weekday,urban,5,1,clear,high,36,high,overspeeding,fatal,4,4,Peak Hour,No Festival,0.65,16,Q4
6,Bangalore,Karnataka,13.064327,77.53094,2025-03-24,6:00,6,Monday,Weekday,highway,3,0,clear,high,33,high,drunk driving,minor,4,4,Non Peak Hour,No Festival,0.3,16,Q2
7,Chandigarh,Punjab,30.786617,76.73395,2023-05-07,14:00,14,Sunday,Weekend,urban,3,1,clear,high,25,low,weather,major,3,0,Non Peak Hour,No Festival,0.1,0,Q1
8,Hyderabad,Telangana,17.422447,78.46488,2022-02-25,3:00,3,Friday,Weekday,urban,1,0,rain,low,22,low,poor road,minor,1,0,Non Peak Hour,No Festival,0.45,0,Q2
9,Bangalore,Karnataka,12.939033,77.49896,2024-03-31,4:00,4,Sunday,Weekend,rural,3,1,clear,high,23,low,weather,minor,1,0,Non Peak Hour,No Festival,0.1,0,Q1
10,Chandigarh,Punjab,30.651926,76.87689,2022-03-23,13:00,13,Wednesday,Weekday,highway,1,1,fog,low,34,medium,poor road,minor,3,3,Non Peak Hour,No Festival,0.45,9,Q2
11,Bangalore,Karnataka,12.936802,77.469955,2022-01-27,2:00,2,Thursday,Weekday,urban,5,1,rain,medium,33,low,drunk driving,minor,2,0,Non Peak Hour,No Festival,0.25,0,Q1
12,Mumbai,Maharashtra,19.132036,72.76057,2023-11-28,9:00,9,Tuesday,Weekday,highway,5,1,rain,low,17,medium,weather,major,4,1,Peak Hour,No Festival,0.6,4,Q3
13,Pune,Maharashtra,18.532452,73.8418,2024-03-25,8:00,8,Monday,Weekday,highway,6,0,rain,low,40,medium,overspeeding,major,5,2,Peak Hour,Holi,0.7,10,Q4
14,Chandigarh,Punjab,30.721891,76.71139,2025-02-09,18:00,18,Sunday,Weekend,urban,5,1,rain,medium,23,high,overspeeding,major,4,0,Peak Hour,No Festival,0.6,0,Q3
15,Chandigarh,Punjab,30.772308,76.76841,2024-03-18,8:00,8,Monday,Weekday,rural,1,0,clear,high,23,high,drunk driving,minor,4,4,Peak Hour,No Festival,0.45,16,Q2
16,Hyderabad,Telangana,17.382284,78.551704,2023-08-03,11:00,11,Thursday,Weekday,urban,6,0,rain,low,20,low,overspeeding,major,5,3,Non Peak Hour,No Festival,0.45,15,Q2
17,Chennai,Tamil Nadu,13.161404,80.19782,2023-09-26,21:00,21,Tuesday,Weekday,urban,1,1,fog,low,30,medium,distraction,fatal,5,5,Non Peak Hour,No Festival,0.65,25,Q4
18,Hyderabad,Telangana,17.570412,78.310646,2024-08-14,18:00,18,Wednesday,Weekday,urban,4,1,fog,low,21,high,distraction,fatal,1,1,Peak Hour,No Festival,1.0,1,Q4
19,Chandigarh,Punjab,30.629812,76.76548,2024-02-04,2:00,2,Sunday,Weekend,urban,5,1,fog,low,36,low,poor road,minor,2,0,Non Peak Hour,No Festival,0.45,0,Q2
20,Kolkata,West Bengal,22.459848,88.36175,2022-11-04,1:00,1,Friday,Weekday,highway,6,1,fog,low,30,low,drunk driving,fatal,5,5,Non Peak Hour,No Festival,0.65,25,Q4
21,Kolkata,West Bengal,22.692541,88.20995,2023-12-09,0:00,0,Saturday,Weekend,urban,3,0,fog,low,25,medium,weather,minor,4,1,Non Peak Hour,No Festival,0.45,4,Q2
22,Bangalore,Karnataka,12.911401,77.624695,2024-08-06,3:00,3,Tuesday,Weekday,urban,1,0,rain,low,26,medium,distraction,major,3,1,Non Peak Hour,No Festival,0.45,3,Q2
